Weight Vectors,Counts
"[0, 0, 0, 0, 0]",3
"[-0.01, -0.021751999999999997, 0.008091000000000001, -0.051022, 0.0067975]",2
"[-0.02, -0.0020849999999999966, -0.10996099999999999, -0.0469748, 0.0855165]",2
"[-0.01, -0.023759, -0.10871949999999998, -0.0574398, 0.0768957]",4
"[0.0, -0.041974, -0.08119849999999998, -0.0646659, 0.053365699999999995]",2
"[0.01, -0.101008, -0.015519499999999978, -0.0578998, -0.013431300000000014]",10
"[0.02, -0.121074, -0.08270949999999998, 0.03226219999999999, -0.012431450000000014]",4
"[0.03, -0.140864, -0.050408499999999974, 0.01868719999999999, -0.03825045000000002]",8
"[0.04, -0.13785589999999998, -0.048670399999999975, 0.001145199999999992, -0.03335835000000002]",19
"[0.05, -0.11754589999999998, -0.030150399999999973, -0.02897580000000001, -0.03332832000000002]",3
"[0.060000000000000005, -0.10074689999999997, 0.011917600000000028, -0.0743738, -0.05725932000000002]",3
"[0.07, -0.13216989999999998, -0.11844739999999998, 0.08239920000000002, -0.06387582000000003]",2
"[0.060000000000000005, -0.17019289999999998, -0.07975139999999997, 0.04195920000000002, -0.07341012000000002]",8
"[0.05, -0.17875029999999997, -0.07983407799999998, -0.02408279999999998, -0.06809972000000003]",3
"[0.060000000000000005, -0.17498659999999996, -0.08806987799999998, -0.01622849999999998, -0.06064732000000003]",10
"[0.05, -0.19503759999999998, -0.019431877999999972, -0.09754849999999998, -0.05824632000000003]",4
"[0.060000000000000005, -0.21308359999999998, -0.08757287799999997, -0.030529499999999973, -0.046565320000000035]",11
"[0.07, -0.20341279999999998, -0.04914687799999996, -0.07984349999999998, -0.08788832000000003]",9
"[0.08, -0.20514239999999997, -0.06096287799999996, -0.06602549999999999, -0.08055232000000004]",18
"[0.07, -0.21033739999999998, -0.02832987799999996, -0.09692049999999999, -0.07070332000000004]",18
"[0.08, -0.2284134, -0.11646087799999996, -0.009834499999999982, -0.07287152000000004]",11
"[0.07, -0.2539164, -0.06694287799999996, -0.07356349999999998, -0.06871192000000004]",2
"[0.060000000000000005, -0.24604739999999997, -0.16260587799999995, -0.03569649999999997, 0.006322079999999966]",9
"[0.07, -0.24309539999999996, -0.11374987799999994, -0.08718649999999997, -0.05600092000000004]",13
"[0.060000000000000005, -0.24638779999999996, -0.06919787799999995, -0.13290449999999998, -0.046112920000000036]",14
"[0.07, -0.2647788, -0.16008087799999995, -0.04048849999999998, -0.04715612000000004]",36
"[0.08, -0.24690379999999998, -0.11228087799999995, -0.09185049999999997, -0.07951812000000004]",5
"[0.09, -0.23678679999999996, -0.10325887799999994, -0.11535649999999997, -0.07524672000000004]",3
"[0.09999999999999999, -0.22170979999999996, -0.08366287799999994, -0.14594049999999997, -0.07647102000000004]",5
"[0.09, -0.21808189999999997, -0.16655787799999994, -0.12672749999999997, -0.04313902000000004]",13
"[0.09999999999999999, -0.20227189999999998, -0.15786697799999994, -0.14986549999999996, -0.03489782000000004]",7
"[0.10999999999999999, -0.18209489999999998, -0.13988497799999994, -0.17944649999999995, -0.032798820000000034]",6
"[0.11999999999999998, -0.21296089999999998, -0.20624697799999994, -0.07404149999999995, -0.041717020000000035]",3
"[0.12999999999999998, -0.2055542, -0.18894797799999993, -0.10600449999999995, -0.043174020000000035]",4
"[0.11999999999999998, -0.2169862, -0.15153497799999993, -0.16178149999999994, -0.03681622000000004]",66
"[0.12999999999999998, -0.1930692, -0.10596997799999994, -0.21166949999999995, -0.06580322000000004]",3
"[0.13999999999999999, -0.2098892, -0.17409097799999995, -0.14027149999999994, -0.052480220000000036]",86
"[0.12999999999999998, -0.203442, -0.12802897799999996, -0.22374149999999993, -0.025381220000000034]",2
"[0.13999999999999999, -0.24230000000000002, -0.25648997799999995, -0.09578449999999991, -0.05673422000000003]",2
"[0.15, -0.295312, -0.18257497799999994, -0.09548750999999991, -0.13072122000000003]",8
"[0.13999999999999999, -0.29860400000000004, -0.13802297799999996, -0.14120550999999992, -0.12083322000000002]",24
"[0.15, -0.293424, -0.13543647799999997, -0.1496140099999999, -0.11122142000000002]",49
"[0.13999999999999999, -0.27484000000000003, -0.21429647799999996, -0.13297100999999992, -0.09283742000000002]",12
"[0.15, -0.26132200000000005, -0.20370147799999996, -0.15640800999999993, -0.08883762000000002]",34
"[0.16, -0.2511280000000001, -0.19267247799999995, -0.17940800999999992, -0.08289812000000002]",7
"[0.15, -0.2563230000000001, -0.16003947799999996, -0.21030300999999993, -0.07304912000000002]",19
"[0.16, -0.2560208100000001, -0.17055147799999995, -0.19627900999999992, -0.06531222000000002]",84
"[0.15, -0.2612158100000001, -0.13791847799999996, -0.22717400999999993, -0.05546322000000002]",15
"[0.16, -0.2987188100000001, -0.272504478, -0.05124200999999992, -0.08323422000000003]",3
"[0.17, -0.2930956100000001, -0.262489478, -0.07396800999999992, -0.08329470600000002]",45
"[0.18000000000000002, -0.2862776100000001, -0.213985478, -0.12610100999999993, -0.14433770600000004]",1
"[0.17, -0.2846668100000001, -0.149361478, -0.20967400999999994, -0.12912170600000003]",12
"[0.18000000000000002, -0.3173588100000001, -0.276767478, -0.05410100999999995, -0.13053990600000004]",6
"[0.17, -0.3318378100000001, -0.227973478, -0.13752900999999995, -0.10945390600000005]",2
"[0.18000000000000002, -0.30989481000000013, -0.182470478, -0.18728900999999995, -0.13670790600000005]",19
"[0.19000000000000003, -0.29399081000000016, -0.160349478, -0.21847200999999994, -0.13788040600000004]",1
"[0.18000000000000002, -0.29918551000000015, -0.127716478, -0.24936700999999994, -0.12803120600000004]",1
"[0.19000000000000003, -0.3286835100000002, -0.210446478, -0.14672100999999993, -0.11640220600000004]",6
"[0.18000000000000002, -0.33574051000000016, -0.155465478, -0.23008900999999993, -0.08768720600000003]",2
"[0.19000000000000003, -0.35106251000000016, -0.206431478, -0.16331000999999992, -0.08593740600000004]",74
"[0.20000000000000004, -0.3337315100000002, -0.166887478, -0.21072200999999993, -0.11095440600000003]",22
"[0.19000000000000003, -0.32586251000000016, -0.262550478, -0.17285500999999992, -0.03592040600000003]",15
"[0.20000000000000004, -0.31078551000000015, -0.24295447799999997, -0.20343900999999992, -0.03714470600000003]",92
"[0.19000000000000003, -0.31598051000000016, -0.21032147799999998, -0.23433400999999993, -0.027295706000000027]",6
"[0.20000000000000004, -0.2986495100000002, -0.17077747799999998, -0.28174600999999994, -0.05231270600000003]",5
"[0.21000000000000005, -0.3166955100000002, -0.238918478, -0.21472700999999994, -0.04063170600000003]",88
"[0.22000000000000006, -0.2988205100000002, -0.19111847799999998, -0.26608900999999996, -0.07299370600000003]",6
"[0.23000000000000007, -0.3443515100000002, -0.31697247799999995, -0.11167200999999996, -0.08797670600000003]",10
"[0.22000000000000006, -0.3633185100000002, -0.29180947799999996, -0.13976500999999997, -0.08000250600000003]",14
"[0.23000000000000007, -0.3526815100000002, -0.25485247799999994, -0.18135900999999996, -0.09938150600000004]",29
"[0.24000000000000007, -0.3358825100000002, -0.21278447799999994, -0.22675700999999995, -0.12331250600000004]",28
"[0.23000000000000007, -0.3280135100000002, -0.30844747799999994, -0.18889000999999994, -0.04827850600000004]",19
"[0.24000000000000007, -0.3485425100000002, -0.27006247799999994, -0.19684440999999994, -0.060416506000000036]",4
"[0.25000000000000006, -0.3350245100000002, -0.2594674779999999, -0.22028140999999996, -0.05641670600000004]",38
"[0.26000000000000006, -0.3147145100000002, -0.2409474779999999, -0.25040240999999996, -0.05638667600000004]",9
"[0.25000000000000006, -0.31990951000000023, -0.20831447799999991, -0.28129740999999997, -0.04653767600000004]",18
"[0.26000000000000006, -0.3337965100000002, -0.2570874779999999, -0.21652340999999997, -0.04311977600000004]",8
"[0.2700000000000001, -0.3192955100000002, -0.2210204779999999, -0.25708041, -0.05908577600000004]",136
"[0.2800000000000001, -0.2953785100000002, -0.17545547799999991, -0.30696840999999997, -0.08807277600000005]",25
"[0.2900000000000001, -0.3355965100000002, -0.25849547799999995, -0.18141840999999997, -0.10317177600000005]",49
"[0.2800000000000001, -0.3388885100000002, -0.21394347799999996, -0.22713640999999996, -0.09328377600000004]",22
"[0.2700000000000001, -0.34218091000000017, -0.16939147799999998, -0.27285440999999994, -0.08339577600000003]",59
"[0.26000000000000006, -0.3235969100000002, -0.24825147799999997, -0.2562114099999999, -0.06501177600000003]",52
"[0.25000000000000006, -0.3287916100000002, -0.21561847799999997, -0.2871064099999999, -0.05516257600000003]",4
"[0.26000000000000006, -0.36385161000000016, -0.341285478, -0.1355004099999999, -0.06268417600000004]",1
"[0.25000000000000006, -0.39101261000000015, -0.299279478, -0.1774144099999999, -0.06438227600000003]",18
"[0.26000000000000006, -0.37611661000000013, -0.264991478, -0.2177234099999999, -0.07864127600000002]",7
"[0.2700000000000001, -0.35417361000000014, -0.219488478, -0.26748340999999987, -0.10589527600000002]",21
"[0.2800000000000001, -0.38647861000000017, -0.291623478, -0.15105040999999986, -0.11535657600000003]",22
"[0.2700000000000001, -0.40740061000000016, -0.223523478, -0.23568640999999985, -0.10933497600000003]",40
"[0.26000000000000006, -0.41259561000000017, -0.190890478, -0.26658140999999985, -0.09948597600000003]",5
"[0.25000000000000006, -0.3861166100000002, -0.292264478, -0.25327140999999986, -0.04477897600000003]",106
"[0.24000000000000005, -0.3913116100000002, -0.25963147799999997, -0.28416640999999987, -0.03492997600000003]",120
"[0.25000000000000006, -0.3710016100000002, -0.24111147799999996, -0.3142874099999999, -0.03489994600000003]",1
"[0.26000000000000006, -0.4069176100000002, -0.30339647799999997, -0.21189840999999987, -0.04644294600000003]",14
"[0.2700000000000001, -0.39339961000000023, -0.29280147799999995, -0.23533540999999988, -0.04244314600000003]",140
"[0.26000000000000006, -0.39859461000000024, -0.2601684779999999, -0.26623040999999986, -0.03259414600000003]",14
"[0.2700000000000001, -0.38351761000000023, -0.24057247799999992, -0.29681440999999986, -0.03381844600000003]",41
"[0.2800000000000001, -0.4217206100000002, -0.3711234779999999, -0.12723140999999985, -0.05687044600000003]",18
"[0.2700000000000001, -0.43897761000000024, -0.3264264779999999, -0.20945040999999986, -0.038797446000000034]",5
"[0.2800000000000001, -0.4299369100000002, -0.2927184779999999, -0.25443740999999986, -0.07576244600000004]",18
"[0.2900000000000001, -0.41785691000000025, -0.2519744779999999, -0.30207240999999985, -0.10189144600000004]",19
"[0.3000000000000001, -0.3939399100000002, -0.2064094779999999, -0.35196040999999983, -0.13087844600000004]",30
"[0.3100000000000001, -0.4341579100000002, -0.28944947799999987, -0.22641040999999984, -0.14597744600000004]",66
"[0.3200000000000001, -0.4209749100000002, -0.27043247799999987, -0.25952140999999984, -0.14532673600000004]",21
"[0.3100000000000001, -0.4261696100000002, -0.23779947799999987, -0.29041640999999985, -0.13547753600000004]",38
"[0.3000000000000001, -0.4183006100000002, -0.33346247799999984, -0.25254940999999986, -0.060443536000000034]",68
"[0.2900000000000001, -0.4234956100000002, -0.3008294779999998, -0.28344440999999987, -0.05059453600000004]",55
"[0.2800000000000001, -0.42678801000000016, -0.25627747799999984, -0.32916240999999985, -0.040706536000000036]",35
"[0.2900000000000001, -0.40661101000000016, -0.23829547799999984, -0.3587434099999999, -0.03860753600000004]",57
"[0.3000000000000001, -0.42141101000000014, -0.34353947799999984, -0.2595674099999999, -0.04363353600000004]",3
"[0.3100000000000001, -0.40560101000000015, -0.33484857799999984, -0.2827054099999999, -0.03539233600000004]",3
"[0.3200000000000001, -0.39332201000000017, -0.29453957799999986, -0.3291404099999999, -0.07451733600000005]",91
"[0.3100000000000001, -0.39851701000000017, -0.26190657799999983, -0.3600354099999999, -0.06466833600000005]",9
"[0.3200000000000001, -0.4280150100000002, -0.3446365779999998, -0.2573894099999999, -0.05303933600000005]",37
"[0.3300000000000001, -0.4148320100000002, -0.3256195779999998, -0.2905004099999999, -0.05238862600000005]",11
"[0.34000000000000014, -0.3989280100000002, -0.3034985779999998, -0.3216834099999999, -0.05356112600000005]",67
"[0.3300000000000001, -0.40222001000000024, -0.2589465779999998, -0.3674014099999999, -0.04367312600000005]",29
"[0.34000000000000014, -0.44955101000000025, -0.3207355779999998, -0.2535214099999999, -0.05441412600000005]",15
"[0.35000000000000014, -0.42760801000000026, -0.2752325779999998, -0.30328140999999986, -0.08166812600000005]",135
"[0.36000000000000015, -0.40729801000000027, -0.2567125779999998, -0.33340240999999987, -0.08163809600000005]",102
"[0.37000000000000016, -0.4448010100000003, -0.3912985779999998, -0.15747040999999987, -0.10940909600000005]",8
"[0.38000000000000017, -0.44184901000000026, -0.3424425779999998, -0.20896040999999987, -0.17173209600000006]",52
"[0.3900000000000002, -0.4273480100000003, -0.30637557799999976, -0.24951740999999988, -0.18769809600000006]",4
"[0.38000000000000017, -0.4325430100000003, -0.27374257799999974, -0.2804124099999999, -0.17784909600000007]",43
"[0.3900000000000002, -0.4123660100000003, -0.25576057799999974, -0.3099934099999999, -0.17575009600000008]",63
"[0.38000000000000017, -0.4175607100000003, -0.22312757799999974, -0.3408884099999999, -0.16590089600000008]",11
"[0.3900000000000002, -0.4643257100000003, -0.27976357799999974, -0.2311984099999999, -0.1692457960000001]",21
"[0.38000000000000017, -0.46271491000000026, -0.21513957799999972, -0.3147714099999999, -0.15402979600000008]",77
"[0.3900000000000002, -0.49501991000000023, -0.2872745779999997, -0.1983384099999999, -0.16349109600000009]",11
"[0.38000000000000017, -0.5002149100000002, -0.2546415779999997, -0.22923340999999992, -0.1536420960000001]",17
"[0.37000000000000016, -0.4737359100000002, -0.3560155779999997, -0.21592340999999993, -0.09893509600000008]",13
"[0.38000000000000017, -0.4558609100000002, -0.3082155779999997, -0.26728540999999995, -0.13129709600000009]",50
"[0.37000000000000016, -0.4494137100000002, -0.2621535779999997, -0.35075540999999993, -0.10419809600000009]",17
"[0.38000000000000017, -0.4931867100000002, -0.31732057799999974, -0.24136540999999995, -0.10828009600000009]",38
"[0.3900000000000002, -0.4800037100000002, -0.29830357799999974, -0.27447640999999995, -0.10762938600000009]",11
"[0.4000000000000002, -0.4596937100000002, -0.27978357799999976, -0.30459740999999996, -0.10759935600000009]",50
"[0.3900000000000002, -0.4629857100000002, -0.23523157799999977, -0.35031540999999994, -0.09771135600000008]",18
"[0.4000000000000002, -0.4944087100000002, -0.3655965779999998, -0.19354240999999991, -0.10432785600000008]",22
"[0.4100000000000002, -0.4837717100000002, -0.32863957799999977, -0.2351364099999999, -0.12370685600000009]",6
"[0.4000000000000002, -0.48216091000000016, -0.26401557799999975, -0.3187094099999999, -0.10849085600000008]",3
"[0.3900000000000002, -0.48735561000000016, -0.23138257799999976, -0.3496044099999999, -0.09864165600000008]",13
"[0.38000000000000017, -0.47948661000000015, -0.3270455779999998, -0.31173740999999994, -0.023607656000000074]",69
"[0.3900000000000002, -0.46440961000000014, -0.3074495779999998, -0.34232140999999994, -0.024831956000000075]",61
"[0.4000000000000002, -0.44246661000000015, -0.26194657799999976, -0.39208140999999996, -0.05208595600000007]",19
"[0.4100000000000002, -0.47085761000000015, -0.3282465779999998, -0.28723241, -0.05629725600000007]",72
"[0.4200000000000002, -0.45405861000000014, -0.2861785779999998, -0.33263041, -0.08022825600000008]",9
"[0.4100000000000002, -0.45925361000000015, -0.25354557799999977, -0.36352541, -0.07037925600000008]",11
"[0.4200000000000002, -0.5040286100000001, -0.3838485779999998, -0.19269140999999998, -0.10072425600000008]",6
"[0.4300000000000002, -0.50129551, -0.33507557799999976, -0.24188541, -0.1589222560000001]",52
"[0.4200000000000002, -0.50649051, -0.30244257799999974, -0.27278041, -0.1490732560000001]",17
"[0.4100000000000002, -0.50004331, -0.25638057799999975, -0.35625040999999996, -0.1219742560000001]",80
"[0.4200000000000002, -0.5360283100000001, -0.39297357799999977, -0.18019840999999995, -0.1469012560000001]",11
"[0.4100000000000002, -0.54308531, -0.33799257799999977, -0.2635664099999999, -0.11818625600000009]",24
"[0.4200000000000002, -0.52718131, -0.31587157799999976, -0.29474940999999993, -0.1193587560000001]",94
"[0.4300000000000002, -0.50700431, -0.29788957799999977, -0.32433040999999996, -0.11725975600000009]",158
"[0.4200000000000002, -0.51219931, -0.26525657799999974, -0.35522540999999996, -0.1074107560000001]",143
"[0.4100000000000002, -0.5173943099999999, -0.23262357799999975, -0.38612040999999997, -0.0975617560000001]",14
"[0.4000000000000002, -0.49091530999999994, -0.33399757799999974, -0.37281041, -0.0428547560000001]",248
"[0.3900000000000002, -0.49611000999999993, -0.3013645779999997, -0.40370541, -0.033005556000000096]",21
"[0.4000000000000002, -0.5245010099999999, -0.36766457799999974, -0.29885640999999996, -0.0372168560000001]",18
"[0.4100000000000002, -0.5109830099999999, -0.3570695779999997, -0.32229340999999995, -0.0332170560000001]",23
"[0.4000000000000002, -0.5142754099999999, -0.31251757799999974, -0.36801140999999993, -0.023329056000000098]",7
"[0.4100000000000002, -0.49035840999999986, -0.2669525779999997, -0.4178994099999999, -0.0523160560000001]",42
"[0.4000000000000002, -0.47177440999999987, -0.3458125779999997, -0.4012564099999999, -0.0339320560000001]",47
"[0.3900000000000002, -0.47696940999999987, -0.3131795779999997, -0.4321514099999999, -0.0240830560000001]",9
"[0.4000000000000002, -0.5139304099999998, -0.44995857799999966, -0.25635640999999987, -0.0502640560000001]",11
"[0.4100000000000002, -0.49713140999999983, -0.40789057799999967, -0.30175440999999986, -0.07419505600000009]",5
"[0.4000000000000002, -0.5023264099999998, -0.37525757799999965, -0.33264940999999987, -0.0643460560000001]",14
"[0.4100000000000002, -0.48642240999999975, -0.35313657799999965, -0.3638324099999999, -0.06551855600000009]",41
"[0.4200000000000002, -0.46611240999999975, -0.33461657799999966, -0.3939534099999999, -0.06548852600000009]",31
"[0.4300000000000002, -0.49969440999999976, -0.4070205779999997, -0.2795344099999999, -0.07119982600000009]",40
"[0.4200000000000002, -0.5029864099999998, -0.3624685779999997, -0.3252524099999999, -0.06131182600000009]",40
"[0.4300000000000002, -0.4828094099999998, -0.3444865779999997, -0.3548334099999999, -0.05921282600000009]",77
"[0.4400000000000002, -0.4608664099999998, -0.2989835779999997, -0.40459340999999993, -0.0864668260000001]",9
"[0.4300000000000002, -0.45299740999999977, -0.3946465779999997, -0.36672640999999995, -0.01143282600000009]",11
"[0.4400000000000002, -0.5163614099999998, -0.30179857799999965, -0.3665836599999999, -0.07927682600000009]",316
"[0.4300000000000002, -0.5196534099999998, -0.25724657799999967, -0.4123016599999999, -0.0693888260000001]",3
"[0.4200000000000002, -0.5117844099999997, -0.35290957799999967, -0.3744346599999999, 0.005645173999999906]",2
"[0.4100000000000002, -0.5169791099999997, -0.32027657799999965, -0.4053296599999999, 0.015494373999999906]",5
"[0.4200000000000002, -0.5478451099999997, -0.3866385779999997, -0.29992465999999995, 0.006576173999999907]",28
"[0.4300000000000002, -0.5388044099999997, -0.35293057799999966, -0.34491165999999995, -0.03038882600000009]",24
"[0.4400000000000002, -0.5168614099999996, -0.30742757799999965, -0.39467166, -0.05764282600000009]",70
"[0.4300000000000002, -0.5220564099999996, -0.2747945779999996, -0.42556666, -0.047793826000000095]",11
"[0.4400000000000002, -0.5515544099999996, -0.3575245779999996, -0.32292065999999997, -0.036164826000000094]",28
"[0.45000000000000023, -0.5313774099999996, -0.3395425779999996, -0.35250166, -0.03406582600000009]",122
"[0.4400000000000002, -0.5365724099999996, -0.30690957799999957, -0.38339666, -0.02421682600000009]",100
"[0.45000000000000023, -0.5688774099999996, -0.3790445779999996, -0.26696366, -0.03367812600000009]",9
"[0.46000000000000024, -0.5592066099999996, -0.34061857799999956, -0.31627766, -0.07500112600000008]",6
"[0.47000000000000025, -0.5352896099999996, -0.29505357799999954, -0.36616566, -0.10398812600000008]",8
"[0.46000000000000024, -0.5385820099999996, -0.25050157799999956, -0.41188366, -0.09410012600000009]",8
"[0.45000000000000023, -0.5255820099999996, -0.35317957799999955, -0.38235366, -0.03546212600000009]",59
"[0.4400000000000002, -0.5307770099999995, -0.3205465779999995, -0.41324866, -0.025613126000000087]",63
"[0.45000000000000023, -0.5508430099999996, -0.3877365779999995, -0.32308665999999997, -0.024613276000000087]",27
"[0.46000000000000024, -0.5349390099999995, -0.3656155779999995, -0.35426966, -0.025785776000000087]",11
"[0.47000000000000025, -0.5146290099999995, -0.3470955779999995, -0.38439066, -0.025755746000000086]",135
"[0.48000000000000026, -0.4944520099999995, -0.3291135779999995, -0.41397166, -0.023656746000000086]",47
"[0.49000000000000027, -0.5258750099999995, -0.4594785779999995, -0.25719866, -0.030273246000000087]",8
"[0.48000000000000026, -0.5440910099999995, -0.39473057799999955, -0.33771266, -0.026087746000000085]",17
"[0.47000000000000025, -0.5473834099999995, -0.3501785779999996, -0.38343066, -0.016199746000000084]",4
"[0.46000000000000024, -0.5525784099999994, -0.31754557799999955, -0.41432566, -0.006350746000000084]",99
"[0.47000000000000025, -0.5286614099999994, -0.27198057799999953, -0.46421366, -0.035337746000000086]",19
"[0.48000000000000026, -0.5486274099999995, -0.36698157799999953, -0.36739365999999996, -0.03662664600000009]",15
"[0.47000000000000025, -0.5519194099999994, -0.32242957799999955, -0.41311165999999994, -0.026738646000000088]",20
"[0.48000000000000026, -0.5846114099999995, -0.44983557799999957, -0.2575386599999999, -0.02815684600000009]",24
"[0.49000000000000027, -0.5834522099999995, -0.41761657799999957, -0.2918406599999999, -0.05661384600000009]",35
"[0.5000000000000002, -0.5683752099999995, -0.39802057799999957, -0.3224246599999999, -0.05783814600000009]",14
"[0.5100000000000002, -0.5464322099999994, -0.35251757799999955, -0.37218465999999994, -0.08509214600000009]",25
"[0.5000000000000002, -0.5516272099999994, -0.31988457799999953, -0.40307965999999995, -0.0752431460000001]",111
"[0.4900000000000002, -0.5568222099999993, -0.2872515779999995, -0.43397465999999996, -0.0653941460000001]",2
"[0.5000000000000002, -0.5928072099999994, -0.42384457799999953, -0.25792265999999997, -0.0903211460000001]",8
"[0.5100000000000002, -0.5802352099999993, -0.3751135779999995, -0.31078365999999996, -0.14906214600000012]",32
"[0.5200000000000002, -0.5634362099999993, -0.3330455779999995, -0.35618165999999996, -0.17299314600000013]",28
"[0.5100000000000002, -0.5369572099999993, -0.43441957799999953, -0.34287165999999997, -0.11828614600000012]",15
"[0.5000000000000002, -0.5421519099999993, -0.4017865779999995, -0.37376666, -0.10843694600000012]",38
"[0.5100000000000002, -0.5242769099999993, -0.3539865779999995, -0.42512866, -0.14079894600000012]",177
"[0.5000000000000002, -0.5164079099999993, -0.4496495779999995, -0.38726166, -0.06576494600000012]",8
"[0.5100000000000002, -0.5015119099999993, -0.4153615779999995, -0.42757066, -0.08002394600000011]",25
"[0.5000000000000002, -0.5067069099999992, -0.3827285779999995, -0.45846566, -0.07017494600000011]",87
"[0.5100000000000002, -0.5350979099999993, -0.4490285779999995, -0.35361666, -0.07438624600000011]",3
"[0.5200000000000002, -0.5177669099999993, -0.4094845779999995, -0.40102866000000004, -0.09940324600000011]",61
"[0.5100000000000002, -0.5210593099999993, -0.3649325779999995, -0.44674666, -0.0895152460000001]",63
"[0.5200000000000002, -0.5570443099999993, -0.5015255779999995, -0.27069466, -0.11444224600000011]",4
"[0.5100000000000002, -0.5603363099999993, -0.45697357799999955, -0.31641265999999996, -0.1045542460000001]",20
"[0.5000000000000002, -0.5655313099999992, -0.4243405779999995, -0.34730765999999996, -0.0947052460000001]",1
"[0.4900000000000002, -0.5707263099999992, -0.3917075779999995, -0.37820265999999997, -0.08485624600000011]",27
"[0.5000000000000002, -0.5562253099999992, -0.3556405779999995, -0.41875966, -0.10082224600000012]",11
"[0.5100000000000002, -0.5359153099999991, -0.3371205779999995, -0.44888066, -0.10079221600000011]",37
"[0.5200000000000002, -0.5673383099999991, -0.4674855779999995, -0.29210766, -0.10740871600000011]",19
"[0.5300000000000002, -0.5434213099999992, -0.4219205779999995, -0.34199566, -0.1363957160000001]",179
"[0.5200000000000002, -0.5486160099999992, -0.38928757799999947, -0.37289066, -0.1265465160000001]",173
"[0.5300000000000002, -0.5318170099999991, -0.3472195779999995, -0.41828866, -0.15047751600000012]",246
"[0.5200000000000002, -0.5239480099999991, -0.44288257799999947, -0.38042166, -0.07544351600000011]",183
"[0.5100000000000002, -0.5223372099999991, -0.37825857799999946, -0.46399466, -0.06022751600000011]",58
"[0.5200000000000002, -0.5661102099999991, -0.4334255779999995, -0.35460466, -0.06430951600000011]",12
"[0.5300000000000002, -0.5516092099999991, -0.39735857799999946, -0.39516166, -0.0802755160000001]",116
"[0.5400000000000003, -0.5314322099999991, -0.37937657799999946, -0.42474266000000005, -0.0781765160000001]",40
"[0.5300000000000002, -0.534724209999999, -0.3348245779999995, -0.47046066000000003, -0.0682885160000001]",1
"[0.5400000000000003, -0.582055209999999, -0.39661357799999947, -0.35658066000000005, -0.0790295160000001]",8
"[0.5500000000000003, -0.567159209999999, -0.3623255779999995, -0.39688966000000003, -0.0932885160000001]",3
"[0.5400000000000003, -0.570451609999999, -0.3177735779999995, -0.44260766, -0.08340051600000009]",51
"[0.5500000000000003, -0.601874609999999, -0.4481385779999995, -0.28583466, -0.09001701600000009]",35
"[0.5600000000000003, -0.589302609999999, -0.3994075779999995, -0.33869566, -0.1487580160000001]",11
"[0.5700000000000003, -0.571427609999999, -0.3516075779999995, -0.39005766000000003, -0.1811200160000001]",20
"[0.5600000000000003, -0.5766226099999989, -0.31897457799999945, -0.42095266000000003, -0.1712710160000001]",18
"[0.5500000000000003, -0.5818176099999989, -0.28634157799999943, -0.45184766000000004, -0.1614220160000001]",4
"[0.5600000000000003, -0.6141226099999989, -0.35847657799999944, -0.33541466000000003, -0.17088331600000012]",6
"[0.5500000000000003, -0.6193173099999989, -0.3258435779999994, -0.36630966000000004, -0.16103411600000012]",7
"[0.5400000000000003, -0.6245123099999988, -0.2932105779999994, -0.39720466000000004, -0.15118511600000012]",17
"[0.5300000000000002, -0.5980333099999988, -0.39458457799999935, -0.38389466000000005, -0.09647811600000011]",66
"[0.5400000000000003, -0.5760903099999988, -0.34908157799999934, -0.4336546600000001, -0.12373211600000011]",59
"[0.5300000000000002, -0.5682213099999988, -0.44474457799999934, -0.3957876600000001, -0.04869811600000011]",9
"[0.5400000000000003, -0.5443043099999988, -0.3991795779999993, -0.4456756600000001, -0.07768511600000011]",81
